institute_type,institute_short,program_name,category,quota,pool,round_no,program_duration,degree_short,year,opening_rank,closing_rank,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT,IIT-(ISM) Dhanbad,Mining Machinery Engineering,OBC-NCL,AI,Gender-Neutral,1,4 Years,B.Tech,2021,4070.0,4850.0,4850.0,0.0,2021
IIT,IIT-Kharagpur,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,2,4 Years,B.Tech,2021,53.0,161.0,161.0,0.0,2021
IIT,IIT-Roorkee,Geological Technology,OBC-NCL,AI,Female-Only,2,5 Years,Int M.Tech,2021,8299.0,8605.0,8605.0,0.0,2021
IIT,IIT-Bhubaneswar,Computer Science and Engineering,GEN,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,2293.0,2710.0,2710.0,0.0,2021
IIT,IIT-Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering,GEN,AI,Female-Only,2,5 Years,B.Tech + M.Tech (IDD),2021,5505.0,5838.0,5838.0,0.0,2021
IIT,IIT-Madras,Chemical Engineering,GEN,AI,Gender-Neutral,2,4 Years,B.Tech,2021,2401.0,3795.0,3795.0,0.0,2021
NIT,NIT-Jalandhar,Industrial and Production Engineering,OBC-NCL,HS,Gender-Neutral,1,4 Years,B.Tech,2021,35442.0,70592.0,70592.0,0.0,2021
NIT,NIT-Jaipur,Electronics and Communication Engineering,OBC-NCL,OS,Gender-Neutral,1,4 Years,B.Tech,2021,2756.0,3271.0,3271.0,0.0,2021
NIT,NIT-Karnataka-Surathkal,Information Technology,OBC-NCL,HS,Gender-Neutral,1,4 Years,B.Tech,2021,1567.0,2474.0,2474.0,0.0,2021
NIT,NIT-Kurukshetra,Information Technology,OBC-NCL,HS,Female-Only,1,4 Years,B.Tech,2021,7376.0,8515.0,8515.0,0.0,2021
NIT,NIT-Jaipur,Electronics and Communication Engineering,GEN,HS,Female-Only,1,4 Years,B.Tech,2021,8467.0,11395.0,11395.0,0.0,2021
NIT,NIT-Goa,Computer Science and Engineering,GEN,OS,Female-Only,1,4 Years,B.Tech,2021,11251.0,13481.0,13481.0,0.0,2021
NIT,NIT-Karnataka-Surathkal,Information Technology,GEN,OS,Female-Only,1,4 Years,B.Tech,2021,3007.0,3203.0,3203.0,0.0,2021
NIT,NIT-Raipur,Bio Technology,GEN,HS,Female-Only,1,4 Years,B.Tech,2021,57116.0,71227.0,71227.0,0.0,2021
NIT,NIT-Rourkela,Industrial Design,GEN,OS,Gender-Neutral,1,4 Years,B.Tech,2021,16467.0,26130.0,26130.0,0.0,2021
IIT,IIT-Kanpur,Computer Science and Engineering,SC,AI,Female-Only,1,4 Years,B.Tech,2021,284.0,350.0,350.0,0.0,2021
IIT,IIT-Hyderabad,Materials Science and Metallurgical Engineering,GEN,AI,Gender-Neutral,7,4 Years,B.Tech,2019,6034.0,6998.0,6998.0,0.0,2019
IIT,IIT-(ISM) Dhanbad,Chemical Engineering,GEN,AI,Gender-Neutral,7,4 Years,B.Tech,2019,6763.0,8743.0,8743.0,0.0,2019
IIT,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,GEN,AI,Gender-Neutral,7,5 Years,B.Tech + M.Tech (IDD),2019,10472.0,10981.0,10981.0,0.0,2019
NIT,NIT-Bhopal,Architecture,GEN,OS,Female-Only,7,5 Years,B.Arch,2019,1513.0,2733.0,2733.0,0.0,2019
NIT,NIT-Sikkim,Mechanical Engineering,GEN,OS,Female-Only,7,4 Years,B.Tech,2019,44908.0,48202.0,48202.0,0.0,2019
IIT,IIT-Bhubaneswar,Metallurgical and Materials Engineering,GEN-EWS,AI,Gender-Neutral,1,4 Years,B.Tech,2021,1621.0,1621.0,1621.0,0.0,2021
IIT,IIT-Tirupati,Computer Science and Engineering,GEN-EWS,AI,Gender-Neutral,1,4 Years,B.Tech,2021,311.0,459.0,459.0,0.0,2021
IIT,IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,GEN-EWS,AI,Gender-Neutral,2,5 Years,B.Tech + M.Tech (IDD),2021,240.0,280.0,280.0,0.0,2021
IIT,IIT-Kanpur,Electrical Engineering,OBC-NCL,AI,Female-Only,1,4 Years,B.Tech,2021,1758.0,2374.0,2374.0,0.0,2021
IIT,IIT-Roorkee,Mechanical Engineering,OBC-NCL,AI,Female-Only,1,4 Years,B.Tech,2021,3577.0,4937.0,4937.0,0.0,2021
IIT,IIT-Kanpur,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,2,4 Years,B.Tech,2021,90.0,147.0,147.0,0.0,2021
IIT,IIT-Delhi,Computer Science and Engineering,GEN,AI,Female-Only,1,4 Years,B.Tech,2021,98.0,432.0,432.0,0.0,2021
IIT,IIT-Hyderabad,Artificial Intelligence,GEN,AI,Female-Only,1,4 Years,B.Tech,2021,1714.0,1747.0,1747.0,0.0,2021
NIT,NIT-Calicut,Materials Science and Engineering,OBC-NCL,OS,Gender-Neutral,1,4 Years,B.Tech,2021,8281.0,8589.0,8589.0,0.0,2021
