institute_type,institute_short,program_name,category,quota,pool,round_no,program_duration,degree_short,year,opening_rank,closing_rank,closing_rank_avg,closing_rank_std,latest_recorded_year
NIT,NIT-Allahabad,Information Technology,SC,OS,Female-Only,6,4 Years,B.Tech,2020,2530.0,2572.0,2572.0,0.0,2020
IIT,IIT-Delhi,Engineering and Computational Mechanics,GEN-EWS,AI,Female-Only,6,4 Years,B.Tech,2020,1045.0,1045.0,1045.0,0.0,2020
IIT,IIT-Patna,Civil Engineering,GEN-EWS,AI,Female-Only,6,4 Years,B.Tech,2020,3092.0,3092.0,3092.0,0.0,2020
IIT,IIT-Patna,Metallurgical and Materials Engineering,GEN-EWS,AI,Female-Only,6,4 Years,B.Tech,2020,3839.0,3839.0,3839.0,0.0,2020
NIT,NIT-Allahabad,Electronics and Communication Engineering,GEN-EWS,OS,Female-Only,6,4 Years,B.Tech,2020,2430.0,2430.0,2430.0,0.0,2020
NIT,NIT-Allahabad,Mechanical Engineering,GEN-EWS,OS,Female-Only,6,4 Years,B.Tech,2020,5149.0,5982.0,5982.0,0.0,2020
NIT,NIT-Calicut,Civil Engineering,GEN,OS,Female-Only,6,4 Years,B.Tech,2020,25304.0,34751.0,34751.0,0.0,2020
NIT,NIT-Patna,Mechanical Engineering,GEN,HS,Female-Only,6,4 Years,B.Tech,2020,47506.0,55621.0,55621.0,0.0,2020
NIT,NIT-Srinagar,Information Technology,GEN,JK,Gender-Neutral,6,4 Years,B.Tech,2020,39901.0,58271.0,58271.0,0.0,2020
IIT,IIT-Indore,Metallurgical Engineering and Materials Science,GEN,AI,Gender-Neutral,7,4 Years,B.Tech,2018,7242.0,8886.0,8886.0,0.0,2018
IIT,IIT-Bombay,Aerospace Engineering,GEN-EWS,AI,Gender-Neutral,7,4 Years,B.Tech,2019,175.0,180.0,180.0,0.0,2019
IIT,IIT-Delhi,Civil Engineering,GEN-EWS,AI,Gender-Neutral,7,4 Years,B.Tech,2019,280.0,331.0,331.0,0.0,2019
NIT,NIT-Patna,Electrical Engineering,GEN-EWS,OS,Gender-Neutral,7,4 Years,B.Tech,2019,3260.0,3511.0,3511.0,0.0,2019
IIT,IIT-Kanpur,Computer Science and Engineering,GEN,AI,Gender-Neutral,6,4 Years,B.Tech,2020,111.0,239.0,239.0,0.0,2020
IIT,IIT-Patna,Computer Science and Engineering,GEN,AI,Gender-Neutral,6,4 Years,B.Tech,2020,1901.0,2719.0,2719.0,0.0,2020
NIT,NIT-Bhopal,Materials Science and Metallurgical Engineering,GEN,HS,Gender-Neutral,6,4 Years,B.Tech,2020,36380.0,43969.0,43969.0,0.0,2020
IIT,IIT-Roorkee,Polymer Science and Engineering,OBC-NCL,AI,Gender-Neutral,6,4 Years,B.Tech,2020,2326.0,3925.0,3925.0,0.0,2020
IIT,IIT-(ISM) Dhanbad,Computer Science and Engineering,OBC-NCL,AI,Female-Only,6,4 Years,B.Tech,2020,1795.0,2701.0,2701.0,0.0,2020
IIT,IIT-Jodhpur,Artificial Intelligence and Data Science,SC,AI,Gender-Neutral,6,4 Years,B.Tech,2020,718.0,910.0,910.0,0.0,2020
IIT,IIT-Roorkee,Architecture,SC,AI,Female-Only,6,5 Years,B.Arch,2020,2836.0,2836.0,2836.0,0.0,2020
IIT,IIT-(BHU) Varanasi,Civil Engineering,SC,AI,Female-Only,6,4 Years,B.Tech,2020,2582.0,2784.0,2784.0,0.0,2020
NIT,NIT-Allahabad,Mechanical Engineering,SC,OS,Gender-Neutral,6,4 Years,B.Tech,2020,2477.0,3589.0,3589.0,0.0,2020
IIT,IIT-Hyderabad,Biomedical Engineering,GEN-EWS,AI,Gender-Neutral,6,4 Years,B.Tech,2020,946.0,1267.0,1267.0,0.0,2020
NIT,NIT-Hamirpur,Electrical Engineering,GEN,OS,Gender-Neutral,6,4 Years,B.Tech,2020,17026.0,22094.0,22094.0,0.0,2020
NIT,NIT-Arunachal-Pradesh,Mechanical Engineering,GEN,OS,Female-Only,6,4 Years,B.Tech,2020,48797.0,54131.0,54131.0,0.0,2020
IIT,IIT-Bombay,Electrical Engineering with M.Tech. in Microelectronics,GEN,AI,Gender-Neutral,7,5 Years,B.Tech + M.Tech (IDD),2018,284.0,446.0,446.0,0.0,2018
IIT,IIT-Delhi,Biotechnology and Biochemical Engineering,GEN,AI,Female-Only,7,4 Years,B.Tech,2018,5697.0,6722.0,6722.0,0.0,2018
IIT,IIT-Ropar,Civil Engineering,GEN,AI,Gender-Neutral,7,4 Years,B.Tech,2018,7219.0,8333.0,8333.0,0.0,2018
IIT,IIT-Jodhpur,Computer Science and Engineering,GEN-EWS,AI,Female-Only,7,4 Years,B.Tech,2019,1144.0,1165.0,1165.0,0.0,2019
NIT,NIT-Hamirpur,Computer Science and Engineering,GEN-EWS,OS,Female-Only,7,4 Years,B.Tech,2019,2249.0,2249.0,2249.0,0.0,2019
IIT,IIT-Indore,Metallurgical Engineering and Materials Science,GEN,AI,Gender-Neutral,6,4 Years,B.Tech,2020,7814.0,9878.0,9878.0,0.0,2020
IIT,IIT-Hyderabad,Chemical Engineering,GEN,AI,Gender-Neutral,6,4 Years,B.Tech,2020,4511.0,5848.0,5848.0,0.0,2020
IIT,IIT-Palakkad,Computer Science and Engineering,GEN,AI,Gender-Neutral,6,4 Years,B.Tech,2020,3916.0,4854.0,4854.0,0.0,2020
NIT,NIT-Jalandhar,Computer Science and Engineering,GEN,OS,Gender-Neutral,6,4 Years,B.Tech,2020,6140.0,8053.0,8053.0,0.0,2020
IIT,IIT-Bhubaneswar,Metallurgical and Materials Engineering,OBC-NCL,AI,Gender-Neutral,6,4 Years,B.Tech,2020,4253.0,4866.0,4866.0,0.0,2020
IIT,IIT-Mandi,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,6,4 Years,B.Tech,2020,613.0,1258.0,1258.0,0.0,2020
IIT,IIT-Indore,Metallurgical Engineering and Materials Science,OBC-NCL,AI,Gender-Neutral,6,4 Years,B.Tech,2020,3590.0,4237.0,4237.0,0.0,2020
IIT,IIT-Kharagpur,Exploration Geophysics,OBC-NCL,AI,Gender-Neutral,6,5 Years,Int MSc.,2020,4677.0,5263.0,5263.0,0.0,2020
IIT,IIT-Gandhinagar,Mechanical Engineering,SC,AI,Female-Only,6,4 Years,B.Tech,2020,2684.0,2684.0,2684.0,0.0,2020
