College Code,College Name,Seat Category,Branch Code,Branch Name,Cutoff Rank
E046,"East Point College of Engineering and Technology-
Avalahalli, Bengaluru",GM,EC,Electronics & Communication Engineering,80804
E046,"East Point College of Engineering and Technology-
Avalahalli, Bengaluru",GM,IC,Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),77102
E046,"East Point College of Engineering and Technology-
Avalahalli, Bengaluru",GM,IS,Information Science & Engineering,87738
E046,"East Point College of Engineering and Technology-
Avalahalli, Bengaluru",KKR,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),65871
E046,"East Point College of Engineering and Technology-
Avalahalli, Bengaluru",KKR,CS,Computer Science & Engineering,94289
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,AD,Artificial Intelligence & Data Science,84267
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,86818
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),94434
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,CS,Computer Science & Engineering,89319
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,EC,Electronics & Communication Engineering,68031
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,IC,Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),50857
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,IS,Information Science & Engineering,63334
E048,"East West Institute of Technology-BEL Layout, Bengaluru",KKR,AD,Artificial Intelligence & Data Science,59464
E048,"East West Institute of Technology-BEL Layout, Bengaluru",KKR,CS,Computer Science & Engineering,91622
E049,"Garden City University-Old Madras Road, Bengaluru",GM,COS,Computer Science,78524
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",GM,AD,Artificial Intelligence & Data Science,77065
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",GM,AE,Aeronautical Engineering,98787
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,70074
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),87157
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",GM,CS,Computer Science & Engineering,98020
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",GM,EC,Electronics & Communication Engineering,95307
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",GM,EE,Electrical & Electronics Engineering,75085
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",GM,IS,Information Science & Engineering,85615
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",KKR,AD,Artificial Intelligence & Data Science,60958
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",KKR,AI,Artificial Intelligence & Machine Learning,57298
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",KKR,CS,Computer Science & Engineering,86885
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",KKR,EC,Electronics & Communication Engineering,95763
E050,"Global Academy of Technology-Rajarajeshwari Nagar,
Bengaluru",KKR,IS,Information Science & Engineering,56198
E051,"GM Institute of Technology-P B Road, Davangere",GM,AI,Artificial Intelligence & Machine Learning,82901
E051,"GM Institute of Technology-P B Road, Davangere",GM,CS,Computer Science & Engineering,99703
E051,"GM Institute of Technology-P B Road, Davangere",GM,IS,Information Science & Engineering,78191
E053,"Gopalan College of Engineering And Management-
Whitefield, Bengaluru",GM,AE,Aeronautical Engineering,57177
E053,"Gopalan College of Engineering And Management-
Whitefield, Bengaluru",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),98592
E053,"Gopalan College of Engineering And Management-
Whitefield, Bengaluru",GM,CS,Computer Science & Engineering,75233
E053,"Gopalan College of Engineering And Management-
Whitefield, Bengaluru",GM,IS,Information Science & Engineering,98511
E055,"GSSS Institute of Engineering and Technology for Women-
Metagalli, Mysuru",GM,AD,Artificial Intelligence & Data Science,85755
E055,"GSSS Institute of Engineering and Technology for Women-
Metagalli, Mysuru",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),66182
E055,"GSSS Institute of Engineering and Technology for Women-
Metagalli, Mysuru",GM,CS,Computer Science & Engineering,35762
E055,"GSSS Institute of Engineering and Technology for Women-
Metagalli, Mysuru",GM,EC,Electronics & Communication Engineering,99684
E055,"GSSS Institute of Engineering and Technology for Women-
Metagalli, Mysuru",GM,IS,Information Science & Engineering,69773
E055,"GSSS Institute of Engineering and Technology for Women-
Metagalli, Mysuru",KKR,CS,Computer Science & Engineering,76492
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi
area, Kalaburgi",GM,AI,Artificial Intelligence & Machine Learning,62287
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi
area, Kalaburgi",GM,CS,Computer Science & Engineering,81708
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi
area, Kalaburgi",KKR,AI,Artificial Intelligence & Machine Learning,78802
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi
area, Kalaburgi",KKR,CS,Computer Science & Engineering,90766
E058,"Sri Jayachamarajendra College of Engineering constituent college of JSS Science and Technology University- Manasagangothri, Mysuru",GM,CS,Computer Science & Engineering,5158
E058,"Sri Jayachamarajendra College of Engineering constituent college of JSS Science and Technology University- Manasagangothri, Mysuru",KKR,CS,Computer Science & Engineering,12883
E059,"Jawaharlal Nehru New College of Engineering JNNCE-
Swalanga Road, Shivamogga",GM,AI,Artificial Intelligence & Machine Learning,86450
E059,"Jawaharlal Nehru New College of Engineering JNNCE-
Swalanga Road, Shivamogga",GM,CD,Computer Science & Engineering (Data Science),79577
E059,"Jawaharlal Nehru New College of Engineering JNNCE-
Swalanga Road, Shivamogga",GM,CS,Computer Science & Engineering,66504
E059,"Jawaharlal Nehru New College of Engineering JNNCE-
Swalanga Road, Shivamogga",GM,EC,Electronics & Communication Engineering,92231
E059,"Jawaharlal Nehru New College of Engineering JNNCE-
Swalanga Road, Shivamogga",GM,IS,Information Science & Engineering,96532
E059,"Jawaharlal Nehru New College of Engineering JNNCE-
Swalanga Road, Shivamogga",GM,RI,Robotics & Artificial Intelligence,94431
E060,"JSS Academy of Technical Education-Kengeri Main Road,
Bengaluru",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),49402
E060,"JSS Academy of Technical Education-Kengeri Main Road,
Bengaluru",GM,CS,Computer Science & Engineering,41133
E060,"JSS Academy of Technical Education-Kengeri Main Road,
Bengaluru",GM,CV,Civil Engineering,68354
E060,"JSS Academy of Technical Education-Kengeri Main Road,
Bengaluru",GM,EC,Electronics & Communication Engineering,60050
E060,"JSS Academy of Technical Education-Kengeri Main Road,
Bengaluru",GM,EI,Electronics & Instrumentation Engineering,47943
E060,"JSS Academy of Technical Education-Kengeri Main Road,
Bengaluru",GM,IS,Information Science & Engineering,100258
E060,"JSS Academy of Technical Education-Kengeri Main Road,
Bengaluru",GM,ME,Mechanical Engineering,61324
E060,"JSS Academy of Technical Education-Kengeri Main Road,
Bengaluru",KKR,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),48989
E060,"JSS Academy of Technical Education-Kengeri Main Road,
Bengaluru",KKR,CS,Computer Science & Engineering,49549
E060,"JSS Academy of Technical Education-Kengeri Main Road,
Bengaluru",KKR,EC,Electronics & Communication Engineering,71154
E060,"JSS Academy of Technical Education-Kengeri Main Road,
Bengaluru",KKR,IS,Information Science & Engineering,57402
E061,JSS Science and Technology University-Mysuru,GM,BT,Biotechnology,98970
E061,JSS Science and Technology University-Mysuru,GM,CV,Civil Engineering,55170
E061,JSS Science and Technology University-Mysuru,GM,ME,Mechanical Engineering,77186
E062,"Jain College of Engineering-T.S Nagar, Belagavi",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),96379
E062,"Jain College of Engineering-T.S Nagar, Belagavi",GM,CS,Computer Science & Engineering,99499
E062,"Jain College of Engineering-T.S Nagar, Belagavi",GM,EC,Electronics & Communication Engineering,55029
E064,"Jain College of Engineering and Research-Udyambag,
Belagavi",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),82205
E064,"Jain College of Engineering and Research-Udyambag,
Belagavi",GM,CS,Computer Science & Engineering,97233
E064,"Jain College of Engineering and Research-Udyambag,
Belagavi",GM,EC,Electronics & Communication Engineering,93749
E065,"KLE Technological University  Formerly called as KLE Dr.
M.S. Sheshgiri College of Engineering and Technology- Udyambag, Belagavi",GM,CA,Computer Science & Engineering (Artificial Intelligence),95657
E065,"KLE Technological University  Formerly called as KLE Dr.
M.S. Sheshgiri College of Engineering and Technology- Udyambag, Belagavi",GM,CS,Computer Science & Engineering,96627
E065,"KLE Technological University  Formerly called as KLE Dr.
M.S. Sheshgiri College of Engineering and Technology- Udyambag, Belagavi",GM,EC,Electronics & Communication Engineering,98634
E066,"KLE College of Engineering and Technology-Chikodi Dist.,
Belagavi",GM,AD,Artificial Intelligence & Data Science,82886
E066,"KLE College of Engineering and Technology-Chikodi Dist.,
Belagavi",GM,CS,Computer Science & Engineering,87904
E067,"K.S School of Engineering And Management-Off
Kanakapura Road, Bengaluru",GM,AD,Artificial Intelligence & Data Science,69921
E067,"K.S School of Engineering And Management-Off
Kanakapura Road, Bengaluru",GM,CB,Computer Science & Business Systems,74043
E067,"K.S School of Engineering And Management-Off
Kanakapura Road, Bengaluru",GM,CS,Computer Science & Engineering,77304
E068,"K.S. Institute of Technology-Kanakapura Main Road,
Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,48515
E068,"K.S. Institute of Technology-Kanakapura Main Road,
Bengaluru",GM,CG,Computer Science & Design,43850
E068,"K.S. Institute of Technology-Kanakapura Main Road,
Bengaluru",GM,CM,Computer & Communication Engineering,97286
E068,"K.S. Institute of Technology-Kanakapura Main Road,
Bengaluru",GM,CS,Computer Science & Engineering,90354
E068,"K.S. Institute of Technology-Kanakapura Main Road,
Bengaluru",GM,EC,Electronics & Communication Engineering,66167
E068,"K.S. Institute of Technology-Kanakapura Main Road,
Bengaluru",GM,IC,Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),91244
E070,"Kalpataru Institute of Technology-B H Road, Tiptur",GM,AI,Artificial Intelligence & Machine Learning,70996
E070,"Kalpataru Institute of Technology-B H Road, Tiptur",GM,CS,Computer Science & Engineering,96093
E072,"K L E  Institute of Technology-Gokul, Hubbali",GM,CS,Computer Science & Engineering,89979
E072,"K L E  Institute of Technology-Gokul, Hubbali",GM,EC,Electronics & Communication Engineering,93787
E072,"K L E  Institute of Technology-Gokul, Hubbali",GM,EE,Electrical & Electronics Engineering,94440
E072,"K L E  Institute of Technology-Gokul, Hubbali",GM,ME,Mechanical Engineering,78945
E072,"K L E  Institute of Technology-Gokul, Hubbali",KKR,CS,Computer Science & Engineering,83489
E072,"K L E  Institute of Technology-Gokul, Hubbali",KKR,EC,Electronics & Communication Engineering,88095
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,AE,Aeronautical Engineering,74541
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),51162
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,CS,Computer Science & Engineering,41505
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,EC,Electronics & Communication Engineering,93986
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,EE,Electrical & Electronics Engineering,73191
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,IS,Information Science & Engineering,67705
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",KKR,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),64572
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",KKR,CS,Computer Science & Engineering,47299
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",KKR,EC,Electronics & Communication Engineering,95557
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",KKR,IS,Information Science & Engineering,72438
E074,"KLS Vishwanathrao Deshpande Institute of Technology-
Dandeli Road, Haliyal",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),94782
E074,"KLS Vishwanathrao Deshpande Institute of Technology-
Dandeli Road, Haliyal",GM,CS,Computer Science & Engineering,96723
E074,"KLS Vishwanathrao Deshpande Institute of Technology-
Dandeli Road, Haliyal",GM,EC,Electronics & Communication Engineering,94759
E075,"KNS Institute of Technology-Yelahanka, Bengaluru",GM,CS,Computer Science & Engineering,68529
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar,
Bengaluru",GM,AD,Artificial Intelligence & Data Science,3864
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar,
Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,3706
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar,
Bengaluru",GM,AS,Aerospace Engineering,18772
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar,
Bengaluru",GM,BT,Biotechnology,37954
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar,
Bengaluru",GM,CH,Chemical Engineering,33687
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar,
Bengaluru",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),2175
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar,
Bengaluru",GM,CS,Computer Science & Engineering,1585
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar,
Bengaluru",GM,CV,Civil Engineering,81716
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar,
Bengaluru",GM,CY,Computer Science & Engineering (Cyber Security),2990
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar,
Bengaluru",GM,EC,Electronics & Communication Engineering,5798
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar,
Bengaluru",GM,EE,Electrical & Electronics Engineering,9593
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar,
Bengaluru",GM,EI,Electronics & Instrumentation Engineering,11355
