institute_short,program_name,category,quota,pool,round_no,closing_rank_avg,closing_rank_std,latest_recorded_year
NIT-Jaipur,Chemical Engineering,ST,HS,Female-Only,1,1413.0,0.0,2021
NIT-Jaipur,Computer Science and Engineering,ST,HS,Female-Only,1,425.0,0.0,2021
NIT-Bhopal,Materials Science and Metallurgical Engineering,ST,HS,Gender-Neutral,1,3204.0,0.0,2021
NIT-Allahabad,Civil Engineering,ST,HS,Female-Only,1,4316.0,0.0,2021
NIT-Calicut,Civil Engineering,ST,HS,Female-Only,1,9684.0,0.0,2021
NIT-Raipur,Chemical Engineering,ST,HS,Gender-Neutral,1,3191.0,0.0,2021
NIT-Kurukshetra,Electrical Engineering,ST,HS,Female-Only,1,5031.0,0.0,2021
NIT-Rourkela,Food Process Engineering,ST,HS,Gender-Neutral,1,3707.0,0.0,2021
IIT-Guwahati,Electronics and Electrical Engineering,ST,AI,Female-Only,1,579.0,0.0,2021
IIT-Guwahati,Mathematics and Computing,ST,AI,Female-Only,1,398.0,0.0,2021
IIT-Delhi,Chemical Engineering,ST,AI,Gender-Neutral,2,549.0,150.40309474572294,2021
IIT-Bombay,Aerospace Engineering,ST,AI,Female-Only,7,333.0,330.92597359530424,2019
IIT-Kanpur,Economics,ST,AI,Gender-Neutral,7,724.6666666666666,66.19919435562137,2019
IIT-Patna,Computer Science and Engineering,ST,AI,Female-Only,7,798.0,0.0,2019
IIT-Jodhpur,Computer Science and Engineering,ST,AI,Gender-Neutral,7,478.0,35.679125549822544,2019
NIT-Jalandhar,Industrial and Production Engineering,ST,OS,Gender-Neutral,7,3405.0,0.0,2019
NIT-Mizoram,Civil Engineering,ST,HS,Gender-Neutral,7,29650.0,0.0,2019
NIT-Rourkela,Mathematics,ST,OS,Gender-Neutral,7,1291.0,0.0,2019
NIT-Jalandhar,Industrial and Production Engineering,SC,OS,Gender-Neutral,1,6650.0,0.0,2021
NIT-Karnataka-Surathkal,Chemical Engineering,SC,HS,Female-Only,1,3409.0,0.0,2021
NIT-Rourkela,Mechanical Engineering,SC,HS,Female-Only,1,4032.0,0.0,2021
NIT-Jaipur,Chemical Engineering,OBC-NCL,HS,Gender-Neutral,7,7495.0,0.0,2019
NIT-Agartala,Electronics and Communication Engineering,OBC-NCL,OS,Gender-Neutral,7,7664.0,0.0,2019
NIT-Warangal,Electronics and Communication Engineering,OBC-NCL,AP,Female-Only,7,3335.0,0.0,2019
IIT-Kharagpur,Chemistry,SC,AI,Female-Only,7,1843.5,1670.8933239438118,2019
IIT-Indore,Electrical Engineering,SC,AI,Female-Only,7,1331.0,404.4650788387052,2019
IIT-(BHU) Varanasi,Electronics Engineering,SC,AI,Gender-Neutral,7,773.0,74.62573282722254,2019
IIT-Mandi,Electrical Engineering,SC,AI,Female-Only,7,1984.0,26.870057685088806,2019
IIT-Jammu,Civil Engineering,SC,AI,Gender-Neutral,7,1913.0,155.9134375222354,2019
IIT-Palakkad,Electrical Engineering,SC,AI,Gender-Neutral,7,1700.3333333333333,149.4333742285616,2019
NIT-Durgapur,Chemistry,SC,OS,Gender-Neutral,7,6698.0,0.0,2019
NIT-Rourkela,Electronics and Communication Engineering,SC,HS,Female-Only,7,2467.0,0.0,2019
NIT-Rourkela,Ceramic Engineering and M.Tech Industrial Ceramic,SC,HS,Gender-Neutral,7,9575.0,0.0,2019
NIT-Srinagar,Computer Science and Engineering,SC,OS,Female-Only,7,5427.0,0.0,2019
NIT-Jalandhar,Bio Technology,GEN-EWS,OS,Female-Only,1,7579.0,0.0,2021
NIT-Kurukshetra,Civil Engineering,GEN-EWS,OS,Female-Only,1,5919.0,0.0,2021
NIT-Kurukshetra,Mechanical Engineering,GEN-EWS,HS,Female-Only,1,6045.0,0.0,2021
NIT-Allahabad,Bio Technology,ST,OS,Gender-Neutral,1,2688.0,0.0,2021
NIT-Raipur,Metallurgical and Materials Engineering,ST,OS,Gender-Neutral,1,2854.0,0.0,2021
IIT-Madras,Metallurgical and Materials Engineering,ST,AI,Female-Only,7,1192.0,0.0,2019
IIT-Guwahati,Electronics and Electrical Engineering,ST,AI,Gender-Neutral,7,289.6666666666667,27.15388247255507,2019
IIT-Hyderabad,Mechanical Engineering,ST,AI,Gender-Neutral,7,308.6666666666667,70.50059101407118,2019
IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,ST,AI,Gender-Neutral,7,585.6666666666666,89.02995750495073,2019
NIT-Raipur,Electronics and Communication Engineering,ST,OS,Female-Only,7,2208.0,0.0,2019
NIT-Silchar,Mechanical Engineering,ST,OS,Female-Only,7,3335.0,0.0,2019
NIT-Srinagar,Chemical Engineering,ST,OS,Gender-Neutral,7,3417.0,0.0,2019
NIT-Jalandhar,Textile Technology,SC,HS,Female-Only,1,12791.0,0.0,2021
NIT-Bhopal,Chemical Engineering,SC,OS,Female-Only,1,7230.0,0.0,2021
NIT-Hamirpur,Civil Engineering,SC,OS,Female-Only,1,7100.0,0.0,2021
NIT-Kurukshetra,Civil Engineering,SC,OS,Gender-Neutral,1,4618.0,0.0,2021
NIT-Agartala,Computer Science and Engineering,OBC-NCL,OS,Gender-Neutral,7,5878.0,0.0,2019
NIT-Hamirpur,Architecture,OBC-NCL,HS,Gender-Neutral,7,24979.0,0.0,2019
NIT-Karnataka-Surathkal,Mechanical Engineering,OBC-NCL,OS,Gender-Neutral,7,2844.0,0.0,2019
IIT-Kharagpur,Mechanical Engineering,SC,AI,Female-Only,7,1239.0,77.78174593052023,2019
IIT-Palakkad,Computer Science and Engineering,SC,AI,Female-Only,7,1955.5,30.405591591021544,2019
NIT-Durgapur,Computer Science and Engineering,SC,OS,Female-Only,7,2844.0,0.0,2019
NIT-Karnataka-Surathkal,Electrical and Electronics Engineering,SC,OS,Gender-Neutral,7,1381.0,0.0,2019
NIT-Patna,Civil Engineering,SC,HS,Gender-Neutral,7,5670.0,0.0,2019
NIT-Arunachal-Pradesh,Electronics and Communication Engineering,SC,OS,Female-Only,7,7197.0,0.0,2019
NIT-Kurukshetra,Computer Engineering,SC,HS,Gender-Neutral,7,1521.0,0.0,2019
NIT-Tiruchirappalli,Metallurgical and Materials Engineering,SC,OS,Gender-Neutral,7,3224.0,0.0,2019
NIT-Jaipur,Computer Science and Engineering,GEN-EWS,HS,Female-Only,1,1563.0,0.0,2021
